bopt,bname,Bautor,Bmemo,,,,,,,
87.9,"126 ИГР И ЗАГАДОК. СЕРИЯ "" ИГРЫ ДЛЯ МАЛЫШЕЙ"",""Ван Гуль",М.:А.В.К-Тимошка,978-5-324-00093-0,,,,,,,
549,17-Я ОПЕРАТИВНАЯ ЭСКАДРА КОРАБЛЕЙ ТИХООКЕАНСКОГО ФЛОТА,Матюшин Н. Ф.,,,,,,,,
223.3,"1917. РАЗГАДКА ""РУССКОЙ"" РЕВОЛЮЦИИ",Стариков Н В,,,,,,,,
51.5,1999-2009: ДЕМОКРАТИЗАЦИЯ РОССИИ. ХРОНИКА ПОЛИТИЧЕСКОЙ ПРЕЕМСТВЕННОСТИ.,-,,,,,,,,
232.3,"2 CD ""МУМИ-ТРОЛЛИ №2. ВОЛШЕБНАЯ ЗИМА"",""-",М.:МД Медиа,,,,,,,,
232.3,"2 CD ""МУМИ-ТРОЛЛИ №3. МОРСКАЯ ПРОГУЛКА"",""-",М.:МД Медиа,,,,,,,,
232.3,"2 CD ""МУМИ-ТРОЛЛИ №5. ТАИНСТВЕННЫЙ ГОСТЬ"",""-",М.:МД Медиа,,,,,,,,
232.3,"2 CD ""МУМИ-ТРОЛЛИ №6. УКРОЩЕНИЕ ЛАМПЫ"",""-",М.:МД Медиа,,,,,,,,
43.9,20000 КЛИЧЕК ДЛЯ ДОМАШНИХ ЖИВОТНЫХ.,Гурьева С.Ю.,,,,,,,,
170,21 СПОСОБ СДЕЛАТЬ СВОЮ ЖИЗНЬ СЧАСТЛИВОЙ. 2-е изд.,"Джон Таусенд, Генри Клауд",,,,,,,,
49.9,24 ПОЛОЖЕНИЯ ПО БУХГАЛТЕРСКОМУ УЧЕТУ,-,,,,,,,,
68,"250 НОВЫХ СОЧИНЕНИЙ НА ""ОТЛИЧНО"". УЧЕБНОЕ ПОСОБИЕ",Сост.,"для выпускников, абитуриентов, а также учащихся средних школ, гимназий, лицеев",,,,,,,
286.2,33 МАРТА,Бару М.,,,,,,,,
17.6,3500 КЛИЧЕК ДЛЯ ВАШЕЙ КОШКИ.,Гурьева С.Ю.,,,,,,,,
105.9,37000 ПРЕПЯТСТВИЙ ДЛЯ ОДНОГО МАРШРУТА,Брусс Р.,,,,,,,,
362.4,3D STUDIO VIZ 3,Дж. Омура,Все об инструментах дизайна и моделирования компании Autodesk,,,,,,,
143.9,"3D ОБЩЕНИЕ, ИЛИ НЕЮРИДИЧЕСКИЕ ТОНКОСТИ",Гайдук Ю.Н.,"Книга, которую вы держите в руках, адресована тем, кто интересуется не только вопросами взаимодействия коллег между собой, но и проблемами общения, возникающими на работе. Юристам она поможет достичь успехов в суде и понимания в отношениях с руководством",,,,,,,
339,445 АКТУАЛЬНЫХ ВОПРОСОВ ПО СУДЕБНОЙ МЕДИЦИНЕ 6-е изд. Учебно-практическое пособие,Акопов В.И.,"По сравнению с предыдущими изданиями книга содержит новые сведения по экспертизе вреда, причиненного здоровью человека, специальные разделы об организации и особенностях производства судебно-медицинской экспертизы при чрезвычайных ситуациях, повлекших массовую гибель людей, а также особенностях расследования профессиональных правонарушений медицинских работников. Для юристов (следователей, прокуроров, адвокатов, судей), судебно-медицинских экспертов и врачей-экспертов, а также студентов и преподавателей медицинских и юридических вузов.",,,,,,,
324,500 СПОЙЛЕРОВ.МИРОВОЕ ПРИКЛЮЧЕНЧЕСКОЕ КИНО В БУКВАХ.,Гурский Л.,Для широкого круга читателей,,,,,,,
19.8,5000 КЛИЧЕК ДЛЯ ВАШЕЙ СОБАКИ.,Гурьева С.Ю.,,,,,,,,
170,9 ПРАВИЛ УСПЕШНОГО ЛИДЕРА.ПРЕДИСЛОВИЕ ДЖОНА МАКСВЕЛЛА,Др.Генри Клауд,,,,,,,,
239,9 ПРИНЦИПОВ УСПЕХА В ЛЮБВИ И ЖИЗНИ,Клауд Г.,,,,,,,,
626,A DICTIONARY OF ECONOMICS (3/E),Black John et.al.,,,,,,,,
317.9,"API ЯНДЕКС, GOOGLE И ДРУГИХ ПОПУЛЯРНЫХ ВЕБ-СЕРВИСОВ. ГОТОВЫЕ РЕШЕНИЯ ДЛЯ ВАШЕГО САЙТА.",Петин В.А.,,,,,,,,
684.9,BARRONS. 501АНГЛИЙСКИЙ ГЛАГОЛ + CD-ROM,-,1Кн + 1 CD-ROM,,,,,,,
234.4,BRITOLS,Алексей Никитин,,,,,,,,
169,CD-ROM ЕГЭ. ГЕОГРАФИЯ. ИНТЕРАКТИВНЫЙ КУРС ПОДГОТОВКИ,Медиахауз,,,,,,,,
232.3,"CD ""ЩЕЛКУНЧИК И КРЫСИНЫЙ КОРОЛЬ"",""-",М.:МД Медиа,,,,,,,,
291.5,CD : АНГЛИЙСКИЙ ЯЗЫК 6 КЛАСС. ЗВУКОВОЕ ПОСОБИЕ,Наумова Е.Г.,,,,,,,,
47.1,CD : НАЦИОНАЛЬНОЕ РУКОВОДСТВО. ДЕТСКАЯ ХИРУРГИЯ. Без кода 303892 не продавать!!!!!,под/ред Исакова Ю.Ф.,,,,,,,,
